Nombre,PApellido,SApellido,Grado,Especialidad,Areas,Sexo,Pais,Estado,Residencia,UEstudio,UTrabajo,PagPersonal,PagInstitucional,Citas,IndiceH,IndiceI10,Articulos,GScholar,ResearchG,ORCID,SIPIPN
Sídia Maria,Callegari,Jacques,Doctora,En Genética y Biología Molecular,"Análisis de datos, especialmente en las áreas de Medicina y Genética Humana/Médica (más comúnmente en Gastroenterología) y en la enseñanza de Bioestadística",Femenino,Brasil,Porto Alegre,Brasil,Universidad Federal de Río Grande del Sur,Universidad Federal de Río Grande del Sur,https://www.escavador.com/sobre/7204495/sidia-maria-callegari-jacques,http://mat.ufrgs.br/~nae/equipe.htm,6598,39,13,191,https://scholar.google.com/citations?hl=en&user=W2hc0igAAAAJ,,,
Stela Maris,de Jezus,Castro,Doctora,En Epidemiología,"Probabilidad y Estadística Aplicada, trabajando principalmente en los siguientes temas: datos longitudinales, estructuras de covarianza, medidas repetidas, modelos mixtos, observaciones simultáneas y teoría de respuesta al ítem",Femenino,Brasil,Porto Alegre,Brasil,Universidad Federal de Río Grande del Sur,Universidad Federal de Río Grande del Sur,https://www.escavador.com/sobre/2041537/stela-maris-de-jezus-castro,http://mat.ufrgs.br/~nae/equipe.htm,389,11,13,40,https://scholar.google.com.mx/citations?user=geFQTkAAAAAJ&hl=en&oi=sra,,,
Suzi,Alves,Camey,Doctora,En Estadística,"Probabilidad y Estadística, con énfasis en Teoría General y Procesos Estocásticos, trabajando principalmente en los siguientes temas: aplicación y desarrollo de métodos estadísticos en Epidemiología y en la estimación del consumo de alimentos",Femenino,Brasil,Porto Alegre,Brasil,Universidad Federal de Río Grande del Sur,Universidad Federal de Río Grande del Sur,https://www.escavador.com/sobre/2016898/suzi-alves-camey,https://professor.ufrgs.br/camey/biocv,4227,38,81,238,https://scholar.google.com/citations?hl=en&user=0lveiloAAAAJ,,,
Vanessa Bielefeldt,Leotti,Torman,Maestra,En Epidemiología,"Inferencia bayesiana, modelos para estimar el riesgo relativo, métodos de Markov Chain Monte Carlo, datos longitudinales, simulación",Femenino,Brasil,Porto Alegre,Brasil,Universidad Federal de Río Grande del Sur,Universidad Federal de Río Grande del Sur,https://www.escavador.com/sobre/5673433/vanessa-bielefeldt-leotti-torman,http://mat.ufrgs.br/~nae/equipe.htm,1003,16,29,123,https://scholar.google.com/citations?hl=en&user=elwzVGwAAAAJ,,,
Gilberto,Pereira,Mesquita,Licenciado,En Estadística,,Másculino,Brasil,Porto Alegre,Brasil,Universidad Federal de Río Grande del Sur,Universidad Federal de Río Grande del Sur,https://www.escavador.com/sobre/284810392/gilberto-pereira-mesquita,http://mat.ufrgs.br/~nae/equipe.htm,,,,,,,,
Clécio,da Silva,Ferreira,Doctor,En Estadística,"Probabilidad y Estadística, con énfasis en Estadística, trabajando principalmente en los siguientes temas: modelos de regresión para datos asimétricos, modelos semiparamétricos y análisis de diagnóstico",Másculino,Brasil,Minas Gerais,Brasil,Universidad de São Paulo,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/7842524715253287,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,274,9,8,24,https://scholar.google.com/citations?user=U2jaNmQAAAAJ&hl=es,,,
Tiago,Maia,Magalhães,Doctor,En Estadística,"Estadística aplicada, modelos de regresión e inferencia estadística",Másculino,Brasil,Minas Gerais,Brasil,Universidad de São Paulo,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/7953363504273397,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,,,,,,,,
Alfredo,Chaoubah,,Doctor,En Ingeniería Eléctrica,"Salud Pública, con énfasis en Salud Pública, trabajando principalmente en los siguientes temas: glaucoma, bioestadística-salud colectiva, costo de la enfermedad y costo efectividad",Másculino,Brasil,Minas Gerais,Brasil,Pontificia Universidad Católica de Río de Janeiro,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/1454907350838588,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,1457,21,42,152,https://scholar.google.com.mx/citations?user=EKduNbMAAAAJ&hl=en&oi=ao,,,
Angela,Mello,Coelho,Doctora,En Estadística y Experimentación Agronómica,"Coeficiente de heredabilidad, componentes de varianza, estimación, método de análisis de varianza, método de máxima verosimilitud y simulación de datos",Femenino,Brasil,Minas Gerais,Brasil,Universidad de São Paulo,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/7852258351076500,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,,,,,,,,
Augusto,Carvalho,Souza,Doctor,En Economía ,"Estadística y Economía, con énfasis en Métodos y Modelos Estadísticos Multidimensionales, trabajando principalmente en los siguientes temas: análisis de correspondencias y métodos afines, modelos de variables latentes, análisis de datos muestrales complejos y elaboración de planes de muestreo, evaluación de impacto de políticas públicas",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Minas Gerais,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/4948010017164625,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,,,,,,,,
Camila,Borelli,Zeller,Doctora,En Estadística,"Probabilidad y Estadística, con énfasis en Modelos Lineales, trabajando principalmente en los siguientes temas: Distribuciones Elípticas, Distribuciones Skew-Elliptic, Distribuciones Mixtas, Distribuciones Asintóticas, Algoritmo EM, Punto de Cambio, Diagnóstico y Análisis de Influencia Local",Femenino,Brasil,Minas Gerais,Brasil,Universidad Estatal de Campinas,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/6671405481844657,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,259,10,,32,,https://www.researchgate.net/profile/Camila-Zeller?_sg=B5-yHC8pGhGBsS9XF0BEkqNWMHj1fiPS4P4Xl-TmfoRStEZx7zFZZASNwKJN-mkM_ccTx0LaE_Rn774,,
Gustavo,de Carvalho,Lana,Doctor,En Estadística,Series de tiempo,Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Minas Gerais,Universidad Federal de Juiz de Fora ,https://www.escavador.com/sobre/475850/gustavo-de-carvalho-lana,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,,,,,,,,
Joaquim Henriques,Vianna,Neto,Doctor,En Estadística,"Probabilidad y Estadística, con énfasis en Inferencia Bayesiana, trabajando principalmente en los siguientes temas: estadística espacial, modelado de estructuras de covarianza, modelos bayesianos dinámicos y educación matemática/estadística",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal del Rio de Janeiro,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/1322527450341973,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,3,1,,2,,https://www.researchgate.net/profile/Joaquim-Henriques-Vianna-Neto-2?_sg=SSqaQjXlj8mYNV2_wGlkcIlZO_qXxAVIiOvmrCuydW-uga15PSq6kpSB6fnQc-4C5vZ3rWPI3H8IhZI,,
Jose Antonio,da Silva,Reis,Doctor,En Ingeniería Eléctrica,"Ingeniería Eléctrica, con énfasis en Circuitos Eléctricos, Magnéticos y Electrónicos",Másculino,Brasil,Minas Gerais,Brasil,Pontificia Universidad Católica de Río de Janeiro,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/6724630656207987,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,,,,,,,,
José,Jonas,Pereira,Doctor,En Genética y Mejoramiento,"Probabilidad y Estadística, con énfasis en Bioestadística, análisis multivariado y estadística espacial, trabajando principalmente en los siguientes temas: análisis multivariado, análisis espacial, sistema de información geográfica, estudios de cáncer y delincuencia",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Viçosa,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/4688894023288107,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,0,,,1,,https://www.researchgate.net/profile/Jose-Pereira-94,,
Luiz,Cláudio,Ribeiro,Doctor,En Demografia,"Estadística aplicada y demografía, trabajando principalmente en los siguientes temas: estudios de población en salud",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Minas Gerais,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/5822533712399067,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,,,,,,,,
Lupercio,França,Bessegato,Doctor,En Estadística,"Análisis y modelado de datos multivariados, aprendizaje estadístico e investigación operativa aplicada a la gestión empresarial; Enseñanza de Estadística en la Escuela Básica y Planificación y Control del Sistema de Producción, con énfasis en la planificación económica y semieconómica del control en línea por atributo. También tiene experiencia en análisis de riesgos y planificación y seguimiento de proyectos",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Minas Gerais,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/1996265064545965,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,272,6,4,49,https://scholar.google.com/citations?user=DuXu74cAAAAJ&hl=en,,,
Marcel,de Toledo,Vieira,Doctor,En Estadística,"Métodos y Modelos Matemáticos, Econométricos y Estadísticos, trabajando principalmente en los siguientes temas: muestreo, análisis y modelado de datos longitudinales de muestras complejas y evaluación del impacto de las políticas públicas",Másculino,Brasil,Minas Gerais,Brasil,Universidad de Southampton,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/1980385021266418,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,1288,20,33,127,https://scholar.google.com.mx/citations?user=58tHo4EAAAAJ&hl=en&oi=sra,,,
Ronaldo,Rocha,Bastos,Doctor,En Planificación Regional,"Probabilidad y Estadística Aplicada y Educación Estadística, con énfasis en Análisis de Datos y Enseñanza y Aprendizaje de la Estadística, trabajando principalmente con las siguientes técnicas y métodos: análisis de datos categóricos, análisis multivariado, con énfasis en análisis de correspondencias y análisis de clases latentes",Másculino,Brasil,Minas Gerais,Brasil,Universidad de Liverpool,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/8943562657054260,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,672,16,,72,,https://www.researchgate.net/profile/Bastos-Ronaldo-Rocha?_sg=d6I_62hBgarViHW7xj90v5K8rZoHHZBVTdEO-PWEgMuF2C00YuruM0RZgORgx827--sXPO9j9URONQY,,
Tufi,Machado,Soares,Doctor,En Educación,"Análisis de evaluaciones longitudinales, Desarrollo de Sistemas para el Análisis de Datos de Evaluación a Gran Escala Análisis de datos contextuales de evaluaciones a gran escala, Desarrollo de una metodología para el análisis del Funcionamiento Diferencial del ítem, Evaluación de Políticas Públicas Educativas",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Juiz de Fora,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/1310951746056442,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,900,16,24,86,https://scholar.google.com.mx/citations?user=95SGUjIAAAAJ&hl=en&oi=ao,,,
Alan,Corrêa,Diniz,Maestro,En Enseñanza de la Física,,Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Viçosa,Universidad Federal de Juiz de Fora ,https://www.escavador.com/sobre/7019793/alan-correa-diniz,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,,,,,,,,
Saulo Custodio,de Aquino,Ferreira,Doctor,En Ingeniería de Producción,"Análisis estadísticos aplicados a la industria petroquímica, Optimización Lineal, No Lineal, Entero-Mixta, Heurística y Bio-Inspirada buscando solucionar problemas de Distribución y Restauración Energética, Planificación Energética y Asignación Óptima de Generación Distribuida.",Másculino,Brasil,Minas Gerais,Brasil,Pontificia Universidad Católica de Río de Janeiro,Universidad Federal de Juiz de Fora ,http://lattes.cnpq.br/8139106286859565,https://www2.ufjf.br/estatistica/cursos/docencia/docentes/,1,,,1,,https://www.researchgate.net/scientific-contributions/Saulo-Custodio-de-Aquino-Ferreira-2229102252,,
Antonio Policarpo,Souza,Carneiro,Doctor,En Estadística,"Modelos Mixtos y Métodos Estadísticos Aplicados al Mejoramiento Genético, Modelos Mixtos No Lineales, Planificación y Análisis de Experimentos, Estadística Espacial, Métodos Estadísticos Aplicados y Biometría",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Viçosa,Universidad Federal de Viçosa,https://www.escavador.com/sobre/852941/antonio-policarpo-souza-carneiro,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=5395518810041033&censo=2008,,,,,,,,
Carlos Henrique,Osorio,Silva,Doctor,En Estadística,"Modelos de regresión, análisis conjunto y análisis conjunto basado en elección, análisis de datos categorizados, métodos de análisis de datos obtenidos en análisis sensorial y encuestas de preferencia del consumidor",Másculino,Brasil,Minas Gerais,Brasil,Universidad Estatal de Carolina del Norte,Universidad Federal de Viçosa,https://www.escavador.com/sobre/3096219/carlos-henrique-osorio-silva#!,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=4143462455943103&censo=2008,257,,,59,,https://www.researchgate.net/scientific-contributions/Carlos-Henrique-Osorio-Silva-2013277348,,
Enrico Antonio,Colosimo,,Doctor,En Estadística,"Bioestadística, Análisis de supervivencia",Másculino,Brasil,Minas Gerais,Brasil,Universidad de Wisconsin-Madison,Universidad Federal de Viçosa,https://www.escavador.com/sobre/7958886/enrico-antonio-colosimo,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=8074052644801438&censo=2008,6524,43,112,301,https://scholar.google.com.mx/citations?user=f4PScxgAAAAJ&hl=en&oi=ao,,,
Fabyano,Fonseca,e Silva,Doctor,En Estadística y Experimentación Agrícola,"Probabilidad y Estadística aplicada a la Mejora Animal y Vegetal, Inferencia Bayesiana, Bioinformática y Fenotipado de Precisión",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Lavras,Universidad Federal de Viçosa,https://www.escavador.com/sobre/3282786/fabyano-fonseca-e-silva,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=6661948983681991&censo=2008,7473,43,183,878,https://scholar.google.com.mx/citations?hl=en&user=m6Hpm9MAAAAJ,,,
José Ivo,Ribeiro,Júnior,Doctor,En Genética y Mejoramiento,"Planificación y Análisis de Experimentos, Métodos Estadísticos para Control de Calidad y Análisis Multivariante. También es profesor y asesor del Programa de Posgrado Lato Sensu en Gestión de la Producción del Departamento de Ingeniería de Producción y Mecánica de la UFV",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Viçosa,Universidad Federal de Viçosa,https://www.escavador.com/sobre/3096239/jose-ivo-ribeiro-junior,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=2332963811685838&censo=2008,3208,25,46,232,https://scholar.google.com.mx/citations?hl=en&user=YelFpr4AAAAJ,,,
Nerilson,Terra,Santos,Doctor,En Ciencia Animal,"Estadística Aplicada trabajando en áreas como planificación y análisis de experimentos, agricultura de precisión, estadística espacial, geoestadística, reconocimiento de patrones y visión artificia",Másculino,Brasil,Minas Gerais,Brasil,Universidad Estatal de Iowa,Universidad Federal de Viçosa,https://www.escavador.com/sobre/3096218/nerilson-terra-santos,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=6169856941214365&censo=2008,,,,,,,,
Paulo,Roberto,Cecon,Doctor,En Estadística,"Probabilidad y Estadística Aplicada, modelos biométricos, análisis multivariante trabajando principalmente en el análisis e interpretación de datos de investigación en: Fitotecnia, Zootecnia, Ingeniería Agrícola, Fruticultura y Nutrición Veterinaria",Másculino,Brasil,Minas Gerais,Brasil,Universidad de São Paulo,Universidad Federal de Viçosa,https://www.escavador.com/sobre/2030189/paulo-roberto-cecon,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=4525265173613927&censo=2008,20301,63,481,2290,https://scholar.google.com.mx/citations?user=4WjTgmwAAAAJ&hl=en&oi=sra,,,
Rosangela,Helena,Loschi,Doctora,En Estadística,Probabilidad y Estadística,Femenino,Brasil,Minas Gerais,Brasil,Universidad de São Paulo,Universidad Federal de Viçosa,https://www.escavador.com/sobre/6833834/rosangela-helena-loschi,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=8443300958745785&censo=2008,992,17,29,119,,,,
Sebastiao,Martins,Filho,Doctor,En Genética y Mejoramiento,"Agronomía, con énfasis en Biometría y Métodos Estadísticos aplicados a las Ciencias Agrícolas",Másculino,Brasil,Minas Gerais,Brasil,Universidad Federal de Viçosa,Universidad Federal de Viçosa,https://www.escavador.com/sobre/3096236/sebastiao-martins-filho,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=9975954971354946&censo=2008,1032,17,29,186,https://scholar.google.com.mx/citations?user=sbKTUiMAAAAJ&hl=en&oi=ao,,,
Adair,José,Regazzi,Doctor,En Agronomía,"Análisis Multivariado, Modelos Lineales, Modelos de Regresión Lineales y No Lineales, Diseño de Experimentos, Diseños Experimentales, Componentes de Varianza, Estadística Aplicada al Mejoramiento Genético y Estadística Aplicada a la Industria de Celulosa y Papel. Actuando como becario de desarrollo científico regional",Másculino,Brasil,Minas Gerais,Brasil,Universidad de São Paulo,Universidad Federal de Viçosa,https://www.escavador.com/sobre/3096117/adair-jose-regazzi,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=5371580240771873&censo=2008,,,,,,,,
Cosme,Damiao,Cruz,Doctor,En Agronomía,Biometría,Másculino,Brasil,Minas Gerais,Brasil,Universidad de São Paulo,Universidad Federal de Viçosa,https://www.escavador.com/sobre/3976668/cosme-damiao-cruz,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=2608560883389574&censo=2008,28642,58,357,1571,https://scholar.google.com.mx/citations?hl=en&user=GZc1b6EAAAAJ,,,
Luiz,Alexandre,Peternelli,Doctor,En Estadísticas y fitomejoramiento,"Probabilidad y Estadística Aplicada, con énfasis en Estadística, trabajando principalmente en los siguientes temas: Modelos Mixtos, diseños experimentales, simulación estocástica, caña de azúcar, fitomejoramiento, selección genómica, modelos predictivos para datos NIR y aprendizaje estadístico (Statistical learning)",Másculino,Brasil,Minas Gerais,Brasil,Universidad Estatal de Ciencia y Tecnología de Iowa,Universidad Federal de Viçosa,https://www.escavador.com/sobre/9464450/luiz-alexandre-peternelli,http://dgp.cnpq.br/buscagrupo/detalhePesq.jsp?pesq=3475038418010954&censo=2008,2436,26,70,251,https://scholar.google.com.mx/citations?hl=en&user=d4OluOYAAAAJ,,,
Anderson Luiz,Ara,Souza,Doctor,En Estadística,"Machine Learning Estadístico, Inferencia Estadística y Métodos Computacionales.",Másculino,Brasil,Paraná,Brasil,Universidad Federal de São Carlos,Universidad Federal de Paraná,http://leg.ufpr.br/~ara,http://www.est.ufpr.br/professores/01-anderson.html,382,7,6,56,https://scholar.google.com.mx/citations?hl=en&user=rNCpsvEAAAAJ,,,
Ary Elias,Sabbag,Junior,Maestro,En Estadística,"Inferencia Bayesiana, Muestreo y Probabilidad",Másculino,Brasil,Paraná,Brasil,Universidad Federal del Rio de Janeiro,Universidad Federal de Paraná,https://www.escavador.com/sobre/9147100/ary-elias-sabbag-junior,http://www.est.ufpr.br/professores/02-sabbag.html,34,,,1,,https://www.researchgate.net/scientific-contributions/Ary-Elias-Sabbag-2025161310,,
Benito Orlando,Olivares,Aguilera,Maestro,En Estadística,Probabilidad y Procesos Estocásticos.,Másculino,Brasil,Paraná,Brasil,Universidad Estatal de Campinas,Universidad Federal de Paraná,https://www.escavador.com/sobre/2293765/benito-orlando-olivares-aguilera,http://www.est.ufpr.br/professores/03-benito.html,,,,,,,,
Bruno Grimaldo,Martinho,Churata,Doctor,En Genética,"Estadística Genética, Diseño de Experimentos y Modelos Lineales",Másculino,Brasil,Paraná,Brasil,Universidad Federal de Viçosa,Universidad Federal de Paraná,http://people.ufpr.br/~churata,http://www.est.ufpr.br/professores/04-bruno.html,9,,,2,,https://www.researchgate.net/scientific-contributions/Bruno-Grimaldo-Martinho-Churata-24662628?_sg=9h9gTu_RVwfhZ3m02ZAbigm874Fuk6avHEX1pJzTZk4Wd1CC9pAZ6QoqtnYmGbXCwsE4Nm03H4wCLGs,,
Cesar,Augusto,Taconeli,Doctor,En Agronomía,"Estadística Multivariada, Muestreo y Remuestreo y Estadística Didáctica",Másculino,Brasil,Paraná,Brasil,Universidad de São Paulo,Universidad Federal de Paraná,http://people.ufpr.br/~taconeli,http://www.est.ufpr.br/professores/05-taconeli.html,536,12,18,122,https://scholar.google.com.mx/citations?hl=en&user=7TRDC0MAAAAJ,,,
Eduardo,Vargas,Ferreira,Doctor,En Machine Learning,"Teoría de Respuesta al Ítem (IRT), Modelos de Regresión e Inferencia Bayesiana",Másculino,Brasil,Paraná,Brasil,Universidad Técnica de Berlín,Universidad Federal de Paraná,http://leg.ufpr.br/~eferreira,http://www.est.ufpr.br/professores/06-eduardo.html,86,2,,5,,https://www.researchgate.net/profile/Eduardo-Vargas-Ferreira,,
Eliane Maria,Wilbert,Winter,Maestro,En Genética,"Bioestadística, Análisis de Supervivencia y Mejora Genética Animal",Femenino,Brasil,Paraná,Brasil,Universidad Federal de Paraná,Universidad Federal de Paraná,https://www.escavador.com/sobre/396147/eliane-maria-wilbert-winter,http://www.est.ufpr.br/professores/07-eliane.html,19,,,2,,https://www.researchgate.net/scientific-contributions/Eliane-Maria-Wilbert-Winter-2022828818?_sg=5OTd5It2WgHeinb32XmqM-pPGyQy4ZTO7DkuQBws5aLneolaFbXiTMOcblxd-Dav9ssJ0fHFje0XgXQ,,
Elias,Teixeira,Krainski,Doctor,En Ciencias Matemáticas,Estatística Espacial. Bayesian Computing with INLA,Másculino,Brasil,Paraná,Brasil,Universidad Noruega de Ciencia y Tecnología,Universidad Federal de Paraná,http://leg.ufpr.br/~elias,http://www.est.ufpr.br/professores/08-elias.html,1352,15,25,91,https://scholar.google.com.mx/citations?user=s_-u8LgAAAAJ&hl=en&oi=ao,,,
Fernanda,Buhrer,Rizzato,Doctora,En Agronomía,Modelos Lineales Generalizados y Modelos Mixtos,Femenino,Brasil,Paraná,Brasil,Universidad de São Paulo,Universidad Federal de Paraná,https://www.escavador.com/sobre/471668/fernanda-buhrer-rizzato,http://www.est.ufpr.br/professores/09-fernanda.html,,,,,,,,
Fernando,Lucambio,Pérez,Doctor,En Estadística,"Estadística Teórica, Modelos de Regresión, Análisis Longitudinal de Datos",Másculino,Brasil,Paraná,Brasil,Universidad de São Paulo,Universidad Federal de Paraná,http://docs.ufpr.br/~lucambio/,http://www.est.ufpr.br/professores/10-lucambio.html,71,6,,10,,https://www.researchgate.net/profile/Fernando-Lucambio,,
Fernando,de Pol,Mayer,Doctor,En Estadística y Experimentación Agrícola,"Estadística espacial, inferencia bayesiana y estadística computacional",Másculino,Brasil,Paraná,Brasil,Universidad de São Paulo,Universidad Federal de Paraná,http://www.leg.ufpr.br/~fernandomayer,http://www.est.ufpr.br/professores/11-mayer.html,75,3,2,12,https://scholar.google.com.mx/citations?hl=en&user=-LhC4G4AAAAJ,,,
Jomar Antonio,Camarinha,Filho,Doctor,En Estadística y Experimentación Agrícola,Modelos Lineales y Planificación Experimental,Másculino,Brasil,Paraná,Brasil,Universidad de São Paulo,Universidad Federal de Paraná,http://docs.ufpr.br/~jomarc/,http://www.est.ufpr.br/professores/12-jomar.html,2,1,,1,,https://www.researchgate.net/profile/Jomar-Camarinha,,
Jorge,Festa,,Maestro,En Métodos Numéricos en Ingeniería,"Cálculo de Probabilidades, Inferencia y Ciencias Actuariales",Másculino,Brasil,Paraná,Brasil,Universidad Federal de Paraná,Universidad Federal de Paraná,,http://www.est.ufpr.br/professores/13-festa.html,,,,,,,,
José Luiz,Padilha,da Silva,Doctor,En Estadística,"Análisis de datos longitudinales, datos faltantes y análisis de supervivencia",Másculino,Brasil,Paraná,Brasil,Universidad Federal de Minas Gerais,Universidad Federal de Paraná,https://docs.ufpr.br/~jlpadilha,http://www.est.ufpr.br/professores/14-joseluiz.html,663,15,21,74,https://scholar.google.com.mx/citations?user=CXO9CFwAAAAJ&hl=en&oi=sra,,,
Mário Luiz,Ferreira,da Silva,Licenciado,En Estadística,"Estadística Experimental, DOE, Optimización de Procesos, Métodos Taguchi y Mejora de la Calidad",Másculino,Brasil,Paraná,Brasil,Universidad Federal de Paraná,Universidad Federal de Paraná,https://docs.ufpr.br/~marioluiz/,http://www.est.ufpr.br/professores/15-mario.html,,,,2,https://scholar.google.com.mx/citations?hl=en&user=-ZNCpNwAAAAJ,,,
Nivea da Silva,Matuda,Machado,Doctora,Salud Pública,"Análisis de Supervivencia, Estadísticas de Salud y Demografía",Femenino,Brasil,Paraná,Brasil,Universidad de São Paulo,Universidad Federal de Paraná,https://www.escavador.com/sobre/1482319/nivea-da-silva-matuda,http://www.est.ufpr.br/professores/16-nivea.html,,,,,,,,
Paulo Justiniano,Ribeiro,Junior,Doctor,En Estadística,"Estadística Espacial, Geoestadística y Procesos de Puntos Marcados",Másculino,Brasil,Paraná,Brasil,Universidad de Lancaster,Universidad Federal de Paraná,http://leg.ufpr.br/~paulojus,http://www.est.ufpr.br/professores/17-paulojus.html,8875,32,61,227,https://scholar.google.com.mx/citations?user=-Odk2HgAAAAJ&hl=en,,,
Paulo Ricardo,Bittencourt,Guimarães,Doctor,En Ingeniería Florestal,"Estadística Aplicada, Análisis Longitudinal de Datos e Investigación de Mercados",Másculino,Brasil,Paraná,Brasil,Universidad Federal de Paraná,Universidad Federal de Paraná,https://docs.ufpr.br/~prbg/prbg.htm,http://www.est.ufpr.br/professores/18-prbg.html,103,5,,32,,https://www.researchgate.net/profile/Paulo-Guimaraes-10,,
Silvia,Emiko,Shimakura,Doctora,En Estadística,"Análisis de Supervivencia, Estadística Espacial y Epidemiología Ambiental",Femenino,Brasil,Paraná,Brasil,Universidad de Lancaster,Universidad Federal de Paraná,http://leg.ufpr.br/~silvia,http://www.est.ufpr.br/professores/19-silvia.html,511,10,,33,,https://www.researchgate.net/profile/Silvia-Shimakura?_sg=sbAwZUvudgjnx77RnwsEvrS03guGTEvcAlOMbXvZ5BoDtPi6VtqpW4_8duaFmL6feiRFeCQ2vFVuUYQ,,
Stela,Adami,Vayego,Doctora,En Genética - Mejoramiento Genético Animal,"Mejoramiento genético animal, Modelos Mixtos y Regresión Aleatoria",Femenino,Brasil,Paraná,Brasil,Universidad Federal de Paraná,Universidad Federal de Paraná,https://docs.ufpr.br/~vayego/,http://www.est.ufpr.br/professores/20-stela.html,31,9,,280,,https://www.researchgate.net/profile/Stela-Vayego,,
Wagner,Hugo,Bonat,Doctor,En Matemáticas e Informática,"Estadística Espacial, Inferencia Bayesiana y Estadística Social",Másculino,Brasil,Paraná,Brasil,Universidad del Sur de Dinamarca,Universidad Federal de Paraná,http://www.leg.ufpr.br/doku.php/pessoais:wbonat,http://www.est.ufpr.br/professores/21-wagner.html,708,14,20,91,https://scholar.google.com.mx/citations?user=zZntY0sAAAAJ&hl=en,,,
Walmes,Marques,Zeviani,Doctor,En Estadística y Experimentación Agrícola,"Modelos de Regresión No Lineal, Estadística Experimental y Modelos Lineales Mixtos",Másculino,Brasil,Paraná,Brasil,Universidad Federal de Lavras,Universidad Federal de Paraná,http://www.leg.ufpr.br/~walmes,http://www.est.ufpr.br/professores/22-walmes.html,800,17,25,146,https://scholar.google.com.mx/citations?user=pb-91n8AAAAJ&hl=en,,,
Anselmo,Chaves,Neto,Doctor,En Ingeniería Eléctrica,"Métodos Estadísticos Multivariados, Series Temporales e Ingeniería de la Calidad",Másculino,Brasil,Paraná,Brasil,Pontificia Universidad Católica de Río de Janeiro,Universidad Federal de Paraná,https://www.escavador.com/sobre/5142120/anselmo-chaves-neto,http://www.est.ufpr.br/professores/CS1-anselmo.html,408,11,,81,,https://www.researchgate.net/profile/Anselmo-Chaves-Neto,,
