Nombre,PApellido,SApellido,Grado,Especialidad,Areas,Sexo,Pais,Estado,Residencia,UEstudio,UTrabajo,PagPersonal,PagInstitucional,Citas,IndiceH,IndiceI10,Articulos,GScholar,ResearchG,ORCID,SIPIPN
Ernesto Juvenal,Barrios,Zamudio,Doctor,En Estadística,"Métodos Gráficos de Análisis, Control Estadístico, Diseño de experimentos, Estadística en Ingeniería",Másculino,México,Ciudad de México,México,Universidad de Wisconsin-Madison,ITAM,http://allman.rhon.itam.mx/~ebarrios/,https://computacion.itam.mx/es/facultad/102320-ernesto-juvenal-barrios-zamudio,,,,,,,,
Carlos Vladimir,Rodríguez,Caballero,Doctor,En Economía,"Análisis de series de tiempo no estacionarias, Memoria larga, Modelos de datos de panel",Másculino,México,Ciudad de México,México,Universidad de Aarhus,ITAM,http://c-vladimir-rodriguez-caballero.weebly.com/,https://computacion.itam.mx/es/facultad/184756-carlos-vladimir-rodriguez-caballero,207,8,8,22,https://scholar.google.com/citations?hl=es&user=yzeOjrsAAAAJ,,,
Abdolnasser,Sadeghkhani,,Doctor,En Estadística,"Estadística Bayesiana, Estadística multivariada, Teoría de la decisión, Inferencia predictiva",Másculino,México,Ciudad de México,México,Université de Sherbrooke,ITAM,,https://facultad.itam.mx/en/facultad/abdolnasser-sadeghkhani,21,3,0,12,https://scholar.google.com/citations?hl=es&user=BPbbwzsAAAAJ,,,
Airam Aseret,Blancas,Benítez,Doctora,En Ciencias,"Teoría de Probabilidad, Procesos de ramificación, Teoría de Coalescencia, Genética de Poblaciones, Procesos a valores en árboles, Procesos de Markov autosimilares, Procesos de Lévy",Femenino,México,Ciudad de México,México,CIMAT,ITAM,https://airam-blancas.github.io/,https://computacion.itam.mx/es/facultad/197582-airam-aseret-blancas-benitez,29,3,2,7,https://scholar.google.com/citations?user=7d9rg_sAAAAJ&hl=es&oi=ao,,,
Alfredo,Garbuno,Íñigo,Doctor,En Ingeniería,"Problemas inversos bayesianos, Asimilación de datos, Ecuaciones diferenciales estocásticas, Estadística Bayesiana no Paramétrica, Análisis Numérico",Másculino,México,Ciudad de México,México,University of Liverpool,ITAM,,https://computacion.itam.mx/es/facultad/108727-alfredo-garbuno-inigo,322,6,6,15,https://scholar.google.com/citations?hl=es&user=RYKdTU8AAAAJ,,,
Juan Jose,Fernandez,Duran,Doctor,En Estadísticas e Investigación Operativa,"Estadística Espacial, Aplicaciones Estadísticas en Ciencias Actuariales, Finanzas y Marketing, Análisis y Simulación de Datos de Panel.",Másculino,México,Ciudad de México,México,Universidad de Essex,ITAM,http://allman.rhon.itam.mx/~jfdez/,https://faculty.itam.mx/en/facultad/juan-jose-fernandez-duran,372,9,9,140,https://scholar.google.com/citations?hl=es&user=V-KKXKsAAAAJ,,,
León,Berdichevsky,Acosta,Doctor,En Física Teórica,"Estadística aplicada, Ciencia de datos, Matemáticas financieras, Teoría de campos cuánticos, Teoría de cuerdas",Másculino,México,Ciudad de México,México,Instituto Weizmann para la Ciencia en Israel.,ITAM,,https://facultad.itam.mx/facultad/148829-leon-berdichevsky-acosta,262,5,5,7,https://scholar.google.com/citations?hl=es&user=env5xYkAAAAJ,,,
Victor,Aguirre,Torres,Doctor,En Estadística,"Estadística Bayesiana, Econometría, Diseño de Experimentos, SPC",Másculino,México,Ciudad de México,México,Universidad Estatal de Carolina del Norte,ITAM,https://www.researchgate.net/profile/Victor_Aguirre_Torres,https://en.wikipedia.org/wiki/V%C3%ADctor_Aguirre-Torres,227,7,6,42,https://scholar.google.com/citations?hl=es&user=h1c3nbgAAAAJ,,,
Mercedes,Gregorio,Dominguez,Doctora,En Estadísticas e Investigación Operativa,Estadística Aplicada a la Actuaría,Femenino,México,Ciudad de México,México,Universidad de Essex,ITAM,,https://facultad.itam.mx/facultad/10279-maria-mercedes-gregorio-dominguez,107,6,4,25,https://scholar.google.com/citations?hl=es&user=q9xX5tEAAAAJ,,,
Janko,Hernandez,Cortes,Doctor,En Matemáticas Financieras,"Matemáticas financieras, Cálculo estocástico",Másculino,México,Ciudad de México,México,Universidad de Toronto,ITAM,,https://facultad.itam.mx/en/facultad/108215-janko-hernandez-cortes,14,2,0,15,https://scholar.google.com/citations?hl=es&user=X_ZNqg0AAAAJ,,,
